"Sample","Timepoint","Replicate","StandardizedReplicate"
"KlB41","0min",1,1
"KlB42","0min",2,2
"Kl15m3","15min",1,1
"Kl15m4","15min",2,2
"Kl30m3","30min",1,1
"Kl30m4","30min",2,2
"Kl45m3","45min",1,1
"Kl45m4","45min",2,2
"Kl1h3","1h",1,1
"Kl1h4","1h",2,2
"Kl1.5h3","1.5h",1,1
"Kl1.5h4","1.5h",2,2
"Kl2h4","2h",1,2
"Kl2.5h1","2.5h",1,1
"Kl2.5h2","2.5h",2,2
"Kl3h3","3h",1,1
"Kl3h4","3h",2,2
"Kl3.5h3","3.5h",1,1
"Kl3.5h4","3.5h",2,2
"Kl4h3","4h",1,1
"Kl4h4","4h",2,2
"Kl6h3","6h",1,1
"Kl6h4","6h",2,2
"Kl8h3","8h",1,1
"Kl8h4","8h",2,2
